"id","country","date","village","year","region","leaders_killed","leader_names","leader_description","militants_low","militants_high","militants_avg","unknown_low","unknown_high","unknown_avg","civilians_low","civilians_high","civilians_avg","total_low","total_high","total_avg","president","president_bush","president_obama","president_trump","target_type","target_description","target_organization_name","geo_lat","geo_lon","province","strike_type","notes","_id_deprecated","sources_deprecated","source1_name","source1_url","source2_name","source2_url","source3_name","source3_url","source4_name","source4_url","source5_name","source5_url","source6_name","source6_url","source7_name","source7_url","sources_combined","militants_lowhigh","unknown_lowhigh","civilians_lowhigh","total_lowhigh","leader_percent",""
"2","Pakistan","6/19/2004","Wana","2004","South Waziristan","1","Nek Muhammad","Commander, Taliban","1","1","1","5","5","5","1","1","1","7","7","7","Bush","1","0","0","House","Nek Muhammad","Taliban","32.307446","69.56543","Federally Administered Tribal Areas",,,"810","<li>New York Times: <a href=""http://www.nytimes.com/2004/06/19/international/asia/19STAN.html"" target=""_blank"">http://www.nytimes.com/2004/06/19/international/asia/19STAN.html</a></li>\n <li>CNN: <a href=""http://edition.cnn.com/2004/WORLD/asiapcf/06/18/pakistan.tribal/"" target=""_blank"">http://edition.cnn.com/2004/WORLD/asiapcf/06/18/pakistan.tribal/</a></li>","New York Times","http://www.nytimes.com/2004/06/19/world/the-reach-of-war-militants-ex-fighter-for-taliban-dies-in-strike-in-pakistan.html","\n CNN","http://edition.cnn.com/2004/WORLD/asiapcf/06/18/pakistan.tribal/","New York Times","http://www.nytimes.com/2013/04/07/world/asia/origins-of-cias-not-so-secret-drone-war-in-pakistan.html?pagewanted=print",,,,,,,,,"<a href='http://www.nytimes.com/2004/06/19/world/the-reach-of-war-militants-ex-fighter-for-taliban-dies-in-strike-in-pakistan.html'>New York Times</a>, <a href='http://edition.cnn.com/2004/WORLD/asiapcf/06/18/pakistan.tribal/'>\n CNN</a>, <a href='http://www.nytimes.com/2013/04/07/world/asia/origins-of-cias-not-so-secret-drone-war-in-pakistan.html?pagewanted=print'>New York Times</a>","1","5","1","7","0.1428571429",
"3","Pakistan","5/8/2005","Toorikhel, Mirali","2005","North Waziristan","1","Haitham al-Yemeni","Explosives expert, al Qaeda","2","2","2",,,,,,,"2","2","2","Bush","1","0","0","Unclear","Haitham al-Yemeni","Al-Qaeda","32.987644","70.261345","Federally Administered Tribal Areas",,,"811","<li>Washington Post: <a href=""http://www.washingtonpost.com/wp-dyn/articles/A60743-2005May15.htmlCNN"" target=""_blank"">http://www.washingtonpost.com/wp-dyn/articles/A60743-2005May15.htmlCNN</a></li>\n <li>: <a href="""" target=""_blank""></a></li>","Washington Post","http://www.washingtonpost.com/wp-dyn/content/article/2005/05/14/AR2005051401121.html","NBC","http://www.nbcnews.com/id/7847008/ns/us_news-security/t/cia-drone-kills-al-qaida-operative/#.WLCrCG8rKM8",,,,,,,,,,,"<a href='http://www.washingtonpost.com/wp-dyn/content/article/2005/05/14/AR2005051401121.html'>Washington Post</a>, <a href='http://www.nbcnews.com/id/7847008/ns/us_news-security/t/cia-drone-kills-al-qaida-operative/#.WLCrCG8rKM8'>NBC</a>","2",,,"2","0.5",
"4","Pakistan","11/5/2005","Haisori","2005","North Waziristan","0",,,"0","0","0","4","4","4","4","4","4","8","8","8","Bush","1","0","0","House","Abu Hamza Rabia","Al-Qaeda","33.010391","70.043335","Federally Administered Tribal Areas",,,"812","<p>Christian Science Monitor: http://www.csmonitor.com/2005/1205/p04s02-wosc.html<br />CNN: http://www.cnn.com/2005/WORLD/asiapcf/12/03/pakistan.rabia/</p>","Christian Science Monitor"," http://www.csmonitor.com/2005/1205/p04s02-wosc.html","CNN"," http://www.cnn.com/2005/WORLD/asiapcf/12/03/pakistan.rabia/",,,,,,,,,,,"<a href=' http://www.csmonitor.com/2005/1205/p04s02-wosc.html'>Christian Science Monitor</a>, <a href=' http://www.cnn.com/2005/WORLD/asiapcf/12/03/pakistan.rabia/'>CNN</a>",,"4","4","8","0",
"5","Pakistan","12/1/2005","Patasi Adda","2005","North Waziristan","1","Abu Hamza Rabia","Senior Commander, al Qaeda","3","3","3","2","2","2","0","0","0","5","5","5","Bush","1","0","0","Unclear","Abu Hamza Rabia","Al-Qaeda","32.09686","70.2657","Federally Administered Tribal Areas",,,"813",,"Washington Post","http://www.washingtonpost.com/wp-dyn/content/article/2005/12/03/AR2005120301473.html","CNN","http://www.cnn.com/2005/WORLD/asiapcf/12/03/pakistan.rabia/","Telegraph","http://www.telegraph.co.uk/news/worldnews/asia/pakistan/1504718/Al-Qaeda-number-three-killed-by-CIA-spy-plane-in-Pakistan.html",,,,,,,,,"<a href='http://www.washingtonpost.com/wp-dyn/content/article/2005/12/03/AR2005120301473.html'>Washington Post</a>, <a href='http://www.cnn.com/2005/WORLD/asiapcf/12/03/pakistan.rabia/'>CNN</a>, <a href='http://www.telegraph.co.uk/news/worldnews/asia/pakistan/1504718/Al-Qaeda-number-three-killed-by-CIA-spy-plane-in-Pakistan.html'>Telegraph</a>","3","2",,"5","0.2",
"6","Pakistan","1/6/2006","Damadola","2006","Bajaur","0",,,"0","0","0","0","0","0","8","18","13","8","18","13","Bush","1","0","0","Gathering","Abu Khabab al Masri, Ayman al-Zawahiri","Al-Qaeda","34.801682","71.472588","Federally Administered Tribal Areas",,,"814","<p>CNN: http://www.cnn.com/2008/WORLD/asiapcf/07/29/pakistan.strike/index.html</p>","CNN"," http://www.cnn.com/2008/WORLD/asiapcf/07/29/pakistan.strike/index.html",,,,,,,,,,,,,"<a href=' http://www.cnn.com/2008/WORLD/asiapcf/07/29/pakistan.strike/index.html'>CNN</a>",,,"Between 8 and 18","Between 8 and 18","0",
"7","Pakistan","10/30/2006","Chenagai, six miles north of Khar","2006","Bajaur",,,,"1","1","1",,,,"79","81","80","80","82","81","Bush","1","0","0","House",,"Al-Qaeda","34.841988","71.49765","Federally Administered Tribal Areas",,,"815","<p>AP: http://web.archive.org/web/20061101153515/http://www.cnn.com/2006/WORLD/asiapcf/10/30/pakistan.militants.ap/index.html</p>\n <p>BBC: http://news.bbc.co.uk/2/hi/south_asia/6097636.stm</p>\n <p>Dawn: http://www.dawn.com/news/216918/82-die-as-missiles-rain-on-bajaur-pakistan-owns-up-to-strike-locals-blame-us-drones</p>\n <p>IPS: http://www.ipsnews.net/2011/08/why-pakistani-military-demands-a-veto-on-drone-strikes/</p>\n <p>NYT: http://www.nytimes.com/2006/10/31/world/asia/31pakistan.html?_r=0</p>\n <p>Post: http://www.washingtonpost.com/wp-dyn/content/article/2006/10/30/AR2006103000176.html?nav=rss_world</p>\n <p>Post: http://www.washingtonpost.com/world/national-security/at-cia-a-convert-to-islam-leads-the-terrorism-hunt/2012/03/23/gIQA2mSqYS_story_3.html</p>","AP"," http://web.archive.org/web/20061101153515/http://www.cnn.com/2006/WORLD/asiapcf/10/30/pakistan.militants.ap/index.html","\n BBC"," http://news.bbc.co.uk/2/hi/south_asia/6097636.stm","\n Dawn"," http://www.dawn.com/news/216918/82-die-as-missiles-rain-on-bajaur-pakistan-owns-up-to-strike-locals-blame-us-drones","\n IPS"," http://www.ipsnews.net/2011/08/why-pakistani-military-demands-a-veto-on-drone-strikes/","\n New York Times"," http://www.nytimes.com/2006/10/31/world/asia/31pakistan.html?_r=0","\n Post"," http://www.washingtonpost.com/wp-dyn/content/article/2006/10/30/AR2006103000176.html?nav=rss_world","\n Post"," http://www.washingtonpost.com/world/national-security/at-cia-a-convert-to-islam-leads-the-terrorism-hunt/2012/03/23/gIQA2mSqYS_story_3.html","<a href=' http://web.archive.org/web/20061101153515/http://www.cnn.com/2006/WORLD/asiapcf/10/30/pakistan.militants.ap/index.html'>AP</a>, <a href=' http://news.bbc.co.uk/2/hi/south_asia/6097636.stm'>\n BBC</a>, <a href=' http://www.dawn.com/news/216918/82-die-as-missiles-rain-on-bajaur-pakistan-owns-up-to-strike-locals-blame-us-drones'>\n Dawn</a>, <a href=' http://www.ipsnews.net/2011/08/why-pakistani-military-demands-a-veto-on-drone-strikes/'>\n IPS</a>, <a href=' http://www.nytimes.com/2006/10/31/world/asia/31pakistan.html?_r=0'>\n New York Times</a>, <a href=' http://www.washingtonpost.com/wp-dyn/content/article/2006/10/30/AR2006103000176.html?nav=rss_world'>\n Post</a>, <a href=' http://www.washingtonpost.com/world/national-security/at-cia-a-convert-to-islam-leads-the-terrorism-hunt/2012/03/23/gIQA2mSqYS_story_3.html'>\n Post</a>","1",,"Between 79 and 81","Between 80 and 82","0",
"8","Pakistan","1/16/2007","Salamat Keley, Zamazola","2007","South Waziristan","0",,,"12","22","17","8","8","8",,,,"20","30","25","Bush","1","0","0","Training camp",,"Al-Qaeda","32.844982","69.56543","Federally Administered Tribal Areas",,,"816","<p>Reuters: http://www.alertnet.org/thenews/newsdesk/SP307520.htm<br />BBC: http://news.bbc.co.uk/2/hi/south_asia/6280153.stm<br />Wash Post: http://www.washingtonpost.com/wp-dyn/content/article/2007/01/15/AR2007011501358_pf.html</p>","Reuters"," http://www.alertnet.org/thenews/newsdesk/SP307520.htm","BBC"," http://news.bbc.co.uk/2/hi/south_asia/6280153.stm","Wash Post"," http://www.washingtonpost.com/wp-dyn/content/article/2007/01/15/AR2007011501358_pf.html",,,,,,,,,"<a href=' http://www.alertnet.org/thenews/newsdesk/SP307520.htm'>Reuters</a>, <a href=' http://news.bbc.co.uk/2/hi/south_asia/6280153.stm'>BBC</a>, <a href=' http://www.washingtonpost.com/wp-dyn/content/article/2007/01/15/AR2007011501358_pf.html'>Wash Post</a>","Between 12 and 22","8",,"Between 20 and 30","0",
"9","Pakistan","4/27/2007","Danda Saidgai, 15 km north of Miram Shah","2007","North Waziristan","0",,,"0","0","0","3","4","3.5",,,,"3","4","3.5","Bush","1","0","0","House",,"Taliban","33.109947","70.068054","Federally Administered Tribal Areas",,,"817","<p>Daily Times of Pakistan: http://www.dailytimes.com.pk/default.asp?page=2007%5C04%5C28%5Cstory_28-4-2007_pg7_1<br />Dawn: http://www.dawn.com/2007/04/28/top1.htm<br />Reuters: http://www.reuters.com/article/idUSISL11111020070427</p>","Daily Times of Pakistan"," http://www.dailytimes.com.pk/default.asp?page=2007%5C04%5C28%5Cstory_28-4-2007_pg7_1","Dawn"," http://www.dawn.com/2007/04/28/top1.htm","Reuters"," http://www.reuters.com/article/idUSISL11111020070427",,,,,,,,,"<a href=' http://www.dailytimes.com.pk/default.asp?page=2007%5C04%5C28%5Cstory_28-4-2007_pg7_1'>Daily Times of Pakistan</a>, <a href=' http://www.dawn.com/2007/04/28/top1.htm'>Dawn</a>, <a href=' http://www.reuters.com/article/idUSISL11111020070427'>Reuters</a>",,"Between 3 and 4",,"Between 3 and 4","0",
"10","Pakistan","6/19/2007","Mami Rogha, 26 miles west of Miram Shah","2007","North Waziristan","0",,,"20","34","27",,,,,,,"20","34","27","Bush","1","0","0","Training camp",,"Al-Qaeda","32.991386","70.291901","Federally Administered Tribal Areas",,,"818","<p>Reuters: http://www.reuters.com/article/worldNews/idUSISL13654620070619?pageNumber=1</p>","Reuters"," http://www.reuters.com/article/worldNews/idUSISL13654620070619?pageNumber=1",,,,,,,,,,,,,"<a href=' http://www.reuters.com/article/worldNews/idUSISL13654620070619?pageNumber=1'>Reuters</a>","Between 20 and 34",,,"Between 20 and 34","0",
"11","Pakistan","11/2/2007","Outside Miram Shah","2007","North Waziristan","0",,,"5","9","7",,,,,,,"5","9","7","Bush","1","0","0","Compound",,"Taliban","32.992538","70.098953","Federally Administered Tribal Areas",,,"819","<p>New York Times: http://www.nytimes.com/2007/11/03/world/asia/03drone.html?_r=1</p>","New York Times"," http://www.nytimes.com/2007/11/03/world/asia/03drone.html?_r=1",,,,,,,,,,,,,"<a href=' http://www.nytimes.com/2007/11/03/world/asia/03drone.html?_r=1'>New York Times</a>","Between 5 and 9",,,"Between 5 and 9","0",
